Output (S),Ia,Ib,Ic,Va,Vb,Vc,,
0,-62.52502553,22.11244927,42.71212708,0.145069566,-0.574866363,0.429796796,,
0,-62.06593975,21.11534976,43.24991982,0.154260344,-0.577318326,0.423057982,,
0,-61.5930165,20.11766306,43.77446232,0.163411103,-0.579625533,0.41621443,,
0,-61.10637233,19.11963489,44.28562538,0.172519585,-0.581787415,0.409267829,,
0,-60.60612717,18.12151106,44.78328314,0.181583543,-0.583803438,0.402219894,,
0,-60.0924043,17.1235374,45.26731304,0.190600741,-0.585673105,0.395072364,,
0,-59.56533034,16.12595972,45.73759589,0.199568955,-0.587395956,0.387827001,,
0,-59.02503519,15.12902372,46.1940159,0.208485971,-0.588971565,0.380485594,,
0,-58.47165203,14.13297493,46.63646069,0.217349589,-0.590399543,0.373049954,,
0,-57.90531724,13.13805868,47.06482135,0.226157624,-0.591679539,0.365521916,,
0,-57.32617043,12.14452001,47.47899241,0.234907901,-0.592811238,0.357903337,,
0,-56.73435434,11.15260363,47.87887194,0.243598263,-0.593794359,0.350196097,,
0,-56.13001485,10.16255383,48.26436151,0.252226564,-0.594628661,0.342402097,,
0,-55.51330095,9.174614469,48.63536624,0.260790677,-0.595313939,0.334523262,,
0,-54.88436464,8.189028857,48.99179484,0.269288488,-0.595850022,0.326561534,,
0,-54.24336096,7.206039737,49.33355961,0.277717901,-0.59623678,0.318518879,,
0,-53.59044795,6.225889209,49.66057646,0.286076836,-0.596474116,0.31039728,,
0,-52.92578654,5.248818673,49.97276495,0.294363232,-0.596561974,0.302198742,,
0,-52.24954059,4.275068766,50.27004829,0.302575042,-0.59650033,0.293925288,,
0,-51.56187682,3.30487931,50.55235338,0.310710243,-0.596289201,0.285578958,,
0,-50.86296476,2.338489245,50.8196108,0.318766826,-0.595928639,0.277161813,,
0,-50.1529767,1.376136575,51.07175486,0.326742804,-0.595418733,0.268675929,,
0,-49.43208769,0.418058308,51.30872358,0.33463621,-0.594759609,0.260123399,,
